availability,condition,image,item_number,price,product,retail_price,warranty
Usually ships within 6 months,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-gmt-master-ii-126710-22.jpg,126710BLRO,"$24,995.00",Rolex GMT-Master II 126710BLRO,,"6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 4 weeks,New - Never Worn,https://s.yimg.com/aah/movadobaby/rolex-gmt-master-ii-116719blro-31.jpg,116719BLRO,"$34,995.00",Rolex GMT-Master II 116719BLRO,"$36,750.00","6 Years (Included),Silver: + 3 Years $95 Sale(+49), Gold:Lifetime $295 Best Value(+150),Platinum:Lifetime w/Ultrasonic $395 SALE(+225)"
Usually ships within 6 months,Store Display Model,,16613-BLU,"$11,000.00",Rolex Submariner Date 16613,,"6 Years (Included),Silver: + 3 Years $95 Sale(+75),Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 4 weeks,New - Never Worn,,16618-SSER,"$24,885.00",Rolex Submariner Date 16618,"$27,650.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
IN STOCK,"Factory Fresh, Never Worn",https://sep.yimg.com/ay/movadobaby/rolex-19mm-brown-crocodile-strap-335112-3.jpg,335112,$495.00,Rolex 19mm Brown Crocodile Strap 335112,,
Usually ships within 4 weeks,New - Never Worn,,16618-CHSER,"$24,885.00",Rolex Submariner Date 16618,"$27,650.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
IN STOCK,"Factory Fresh, Never Worn",https://sep.yimg.com/ay/movadobaby/rolex-oyster-13mm-single-link-2.jpg,Rolex-Oyster-13mm-Link,$150.00,Rolex Oyster 13mm Single Link,,
IN STOCK,"Factory Fresh, Never Worn",https://sep.yimg.com/ay/movadobaby/rolex-oyster-perpetual-submariner-single-link-18.jpg,Rolex-Oyster-Link-15mm,$150.00,Rolex Oyster 15mm Link,,
,,,,,,,
,,,,,,,
Usually ships within 4 weeks,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-datejust-pearlmaster-80299-34.jpg,80299-MOPDP,"$44,865.00",Rolex Pearlmaster 80299,"$49,850.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 4 weeks,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-datejust-pearlmaster-80318-33.jpg,80318-WHTRP,"$27,135.00",Rolex Pearlmaster 80318,"$30,150.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 3 months,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-milgauss-116400-91.jpg,116400-BLKSDO,"$7,275.00",Rolex Milgauss 116400,"$7,650.00","6 Years (Included),Silver: + 3 Years $95 Sale(+50), Gold:Lifetime $295 Best Value(+150),Platinum:Lifetime w/Ultrasonic $395 Sale(+225)"
Usually ships within 3 months,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-milgauss-116400-gv-52.jpg,116400-GRNSDO,"$7,795.00",Rolex Milgauss 116400GV,"$8,200.00","6 Years (Included),Silver: + 3 Years $95 Sale(+50), Gold:Lifetime $295 Best Value(+150),Platinum:Lifetime w/Ultrasonic $395 Sale(+225)"
Usually ships within 3 months,Store Display Model,https://sep.yimg.com/ay/movadobaby/rolex-milgauss-116400-84.jpg,116400-WHTSDO,"$7,275.00",Rolex Milgauss 116400,"$7,650.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75),Gold:Lifetime $295 Sale (+250),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Usually ships within 3 months,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-oyster-perpetual-milgauss-116400gv-41.jpg,116400GV-BLUSO,"$8,075.00",Rolex Milgauss 116400GV,"$8,200.00","6 Years (Included),Silver: + 3 Years $95 Sale(+50), Gold:Lifetime $295 Best Value(+150),Platinum:Lifetime w/Ultrasonic $395 Sale(+225)"
Usually ships within 4 weeks,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-datejust-pearlmaster-80298-34.jpg,80298-MOPDDP,"$42,705.00",Rolex Pearlmaster 80298,"$47,450.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 3 months,Store Display Model,https://sep.yimg.com/ay/movadobaby/rolex-datejust-pearlmaster-80319-66.jpg,80319-MOP,"$30,595.00",Rolex Pearlmaster 80319,"$34,000.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75),Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
IN STOCK,"Factory Fresh, Never Worn",https://sep.yimg.com/ay/movadobaby/rolex-oyster-link-15.jpg,Oyster-Link,$150.00,Rolex Oyster Womens 11mm Single Link,,
Usually ships within 4 weeks,New - Never Worn,,16618-BLK,"$22,725.00",Rolex Submariner Date 16618,"$25,250.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 4 weeks,New - Never Worn,,16618-BLU,"$22,725.00",Rolex Submariner Date 16618,"$25,250.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
