availability,condition,image,item_number,price,product,retail_price,warranty
Usually ships within 4 weeks,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-submariner-116613-65.jpg,116613-BLKDD,"$15,550.00",Rolex Submariner Date 116613,"$16,800.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 4 weeks,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-submariner-116618-67.jpg,116618-BLUSO,"$31,250.00",Rolex Submariner Date 116618,"$34,250.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 4 weeks,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-submariner-116618-70.jpg,116618-BLK,"$31,250.00",Rolex Submariner Date 116618,"$34,250.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 4 weeks,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-submariner-116619-76.jpg,116619,"$36,750.00",Rolex Submariner Date 116619,"$40,250.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 8 weeks ,Store Display Model,https://sep.yimg.com/ay/movadobaby/rolex-submariner-16613-16.jpg,16613-BLK,"$10,500.00",Rolex Submariner Date 16613,,"6 Years (Included),Silver: + 3 Years $95 Sale(+75),Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
IN STOCK,Store Display Model,https://sep.yimg.com/ay/movadobaby/rolex-submariner-16610-35.jpg,16610LV,"$12,995.00",Rolex Submariner Date 16610,,"6 Years (Included),Silver: + 3 Years $95 Sale(+75),Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 4 weeks,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-oyster-perpetual-gmt-master-ii-116759-153.jpg,116759-SANR,"$77,750.00",Rolex GMT-Master II 116759,"$84,300.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 4 weeks,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-oyster-perpetual-gmt-master-ii-116758-202.jpg,116758-SARU,"$77,750.00",Rolex GMT-Master II 116758,"$85,000.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 4 weeks,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-oyster-perpetual-gmt-master-ii-116758-192.jpg,116758-SANR,"$74,500.00",Rolex GMT-Master II 116758,"$80,800.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 4 weeks,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-oyster-perpetual-gmt-master-ii-116758-197.jpg,116758-SAPV,"$99,500.00",Rolex GMT-Master II 116758,"$108,050.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 4 weeks,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-oyster-perpetual-gmt-master-ii-116758-187.jpg,116758-SA,"$76,500.00",Rolex GMT-Master II 116758,"$82,900.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 4 weeks,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-master-ii-116718-48.jpg,116718-BLKGMO,"$29,950.00",Rolex GMT-Master II 116718,"$33,250.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 4 weeks,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-master-ii-116718-54.jpg,116718-GRNGMO,"$29,950.00",Rolex GMT-Master II 116718,"$33,250.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 4 weeks,New - Never Worn,https://s.yimg.com/aah/movadobaby/rolex-oyster-perpetual-gmt-master-ii-116719-47.jpg,116719-BLRO,"$34,550.00",Rolex GMT-Master II 116719,"$38,250.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 4 weeks,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-master-ii-116713-25.jpg,116713LN,"$11,990.00",Rolex GMT-Master II 116713,"$13,000.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 8 weeks,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-gmt-master-ii-126711chnr-3.jpg,126711CHNR,"$24,995.00",Rolex GMT-Master II 126711CHNR,,"6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 4 weeks,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-gmt-master-ii-126715chnr-3.jpg,126715CHNR,"$39,995.00",Rolex GMT-Master II 126715CHNR,,"6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 6 months,Store Display Model,https://sep.yimg.com/ay/movadobaby/rolex-oyster-perpetual-sea-dweller-4000-16600-36.jpg,16600,"$10,775.00",Rolex Sea-Dweller 4000 16600,,"6 Years (Included),Silver: + 3 Years $95 Sale(+75),Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
