availability,condition,image,item_number,price,product,retail_price,warranty
Usually ships within 3 months,Store Display Model,https://sep.yimg.com/ay/movadobaby/rolex-oyster-perpetual-yacht-master-16623-309.jpg,16623-MOPR,"$18,275.00",Rolex Yacht-Master 40 16623,"$20,300.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75),Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 3 months,Store Display Model,https://sep.yimg.com/ay/movadobaby/rolex-oyster-perpetual-yacht-master-16623-303.jpg,16623-MOPS,"$17,550.00",Rolex Yacht-Master 40 16623,"$19,150.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75),Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 3 months,Store Display Model,https://sep.yimg.com/ay/movadobaby/rolex-oyster-perpetual-yacht-master-16623-299.jpg,16623-DMOP,"$13,200.00",Rolex Yacht-Master 40 16623,"$14,250.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75),Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 3 months,Store Display Model,https://sep.yimg.com/ay/movadobaby/rolex-oyster-perpetual-yacht-master-16623-295.jpg,16623-CHP,"$11,700.00",Rolex Yacht-Master 40 16623,"$12,600.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75),Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 3 months,Store Display Model,https://sep.yimg.com/ay/movadobaby/rolex-yacht-master-16623-113.jpg,16623-GYSO,"$11,700.00",Rolex Yacht-Master 40 16623,"$12,600.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75),Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 3 months,Store Display Model,https://sep.yimg.com/ay/movadobaby/rolex-yacht-master-16623-107.jpg,16623-BLK,"$11,700.00",Rolex Yacht-Master 40 16623,"$12,600.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75),Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 3 months,Store Display Model,https://sep.yimg.com/ay/movadobaby/rolex-yacht-master-16623-103.jpg,16623,"$11,700.00",Rolex Yacht-Master 40 16623,"$12,600.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75),Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 3 months,Store Display Model,https://sep.yimg.com/ay/movadobaby/rolex-yacht-master-16622-28.jpg,16622,"$10,675.00",Rolex Yacht-Master 40 16622,"$11,200.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75),Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 3 months,Store Display Model,https://sep.yimg.com/ay/movadobaby/rolex-oyster-perpetual-yacht-master-116622-131.jpg,116622-PLT,"$11,475.00",Rolex Yacht-Master 40 116622,"$12,350.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 4 weeks,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-yacht-master-40-116621-12.jpg,116621-BLKO,"$12,950.00",Rolex Yacht-Master 40 116621,"$14,050.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 4 weeks,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-yacht-master-40-116621-2.jpg,116621-CHOO,"$12,950.00",Rolex Yacht-Master 40 116621,"$14,050.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 8 weeks,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-yacht-master-40-116622-38.jpg,116622-DRHO,"$10,925.00",Rolex Yacht-Master 40 116622,"$11,250.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
Usually ships within 4 weeks ,New - Never Worn,https://sep.yimg.com/ay/movadobaby/rolex-yacht-master-116655-46.jpg,116655,"$21,750.00",Rolex Yacht-Master 40 116655,"$24,950.00","6 Years (Included),Silver: + 3 Years $95 Sale(+75), Gold:Lifetime $295 Sale(+245),Platinum:Lifetime w/Ultrasonic $395 Sale(+295)"
